trial,method,covered_states,state_space_size,coverage_fraction
0,exhaustive,65536,65536,1.000000000000
0,hellman,11138,65536,0.169952392578
0,distinguished_points,10073,65536,0.153701782227
1,exhaustive,65536,65536,1.000000000000
1,hellman,11291,65536,0.172286987305
1,distinguished_points,10079,65536,0.153793334961
2,exhaustive,65536,65536,1.000000000000
2,hellman,11079,65536,0.169052124023
2,distinguished_points,9987,65536,0.152389526367
3,exhaustive,65536,65536,1.000000000000
3,hellman,10847,65536,0.165512084961
3,distinguished_points,10009,65536,0.152725219727
4,exhaustive,65536,65536,1.000000000000
4,hellman,11165,65536,0.170364379883
4,distinguished_points,10304,65536,0.157226562500
5,exhaustive,65536,65536,1.000000000000
5,hellman,10973,65536,0.167434692383
5,distinguished_points,10270,65536,0.156707763672
6,exhaustive,65536,65536,1.000000000000
6,hellman,11083,65536,0.169113159180
6,distinguished_points,9970,65536,0.152130126953
7,exhaustive,65536,65536,1.000000000000
7,hellman,10797,65536,0.164749145508
7,distinguished_points,10207,65536,0.155746459961
8,exhaustive,65536,65536,1.000000000000
8,hellman,11236,65536,0.171447753906
8,distinguished_points,9890,65536,0.150909423828
9,exhaustive,65536,65536,1.000000000000
9,hellman,10928,65536,0.166748046875
9,distinguished_points,10157,65536,0.154983520508
10,exhaustive,65536,65536,1.000000000000
10,hellman,11255,65536,0.171737670898
10,distinguished_points,10120,65536,0.154418945312
11,exhaustive,65536,65536,1.000000000000
11,hellman,10945,65536,0.167007446289
11,distinguished_points,10162,65536,0.155059814453
12,exhaustive,65536,65536,1.000000000000
12,hellman,11078,65536,0.169036865234
12,distinguished_points,10076,65536,0.153747558594
13,exhaustive,65536,65536,1.000000000000
13,hellman,10820,65536,0.165100097656
13,distinguished_points,10234,65536,0.156158447266
14,exhaustive,65536,65536,1.000000000000
14,hellman,11148,65536,0.170104980469
14,distinguished_points,10317,65536,0.157424926758
15,exhaustive,65536,65536,1.000000000000
15,hellman,11065,65536,0.168838500977
15,distinguished_points,10035,65536,0.153121948242
16,exhaustive,65536,65536,1.000000000000
16,hellman,10909,65536,0.166458129883
16,distinguished_points,10359,65536,0.158065795898
17,exhaustive,65536,65536,1.000000000000
17,hellman,10872,65536,0.165893554688
17,distinguished_points,10068,65536,0.153625488281
18,exhaustive,65536,65536,1.000000000000
18,hellman,11048,65536,0.168579101562
18,distinguished_points,9935,65536,0.151596069336
19,exhaustive,65536,65536,1.000000000000
19,hellman,10905,65536,0.166397094727
19,distinguished_points,10337,65536,0.157730102539
20,exhaustive,65536,65536,1.000000000000
20,hellman,11263,65536,0.171859741211
20,distinguished_points,10106,65536,0.154205322266
21,exhaustive,65536,65536,1.000000000000
21,hellman,10777,65536,0.164443969727
21,distinguished_points,10207,65536,0.155746459961
22,exhaustive,65536,65536,1.000000000000
22,hellman,11005,65536,0.167922973633
22,distinguished_points,10066,65536,0.153594970703
23,exhaustive,65536,65536,1.000000000000
23,hellman,11146,65536,0.170074462891
23,distinguished_points,10046,65536,0.153289794922
24,exhaustive,65536,65536,1.000000000000
24,hellman,11099,65536,0.169357299805
24,distinguished_points,10095,65536,0.154037475586
25,exhaustive,65536,65536,1.000000000000
25,hellman,11385,65536,0.173721313477
25,distinguished_points,10026,65536,0.152984619141
26,exhaustive,65536,65536,1.000000000000
26,hellman,10904,65536,0.166381835938
26,distinguished_points,10368,65536,0.158203125000
27,exhaustive,65536,65536,1.000000000000
27,hellman,10843,65536,0.165451049805
27,distinguished_points,10155,65536,0.154953002930
28,exhaustive,65536,65536,1.000000000000
28,hellman,10851,65536,0.165573120117
28,distinguished_points,10332,65536,0.157653808594
29,exhaustive,65536,65536,1.000000000000
29,hellman,10963,65536,0.167282104492
29,distinguished_points,10035,65536,0.153121948242
