map_type,trial,d,limit,exact_truncation_fraction,eventual_truncation_floor,reachable_start_fraction,max_finite_hitting_transitions
random,8,8,256,0.610733032227,0.610733032227,0.389266967773,234
random,8,8,512,0.610733032227,0.610733032227,0.389266967773,234
random,8,8,1024,0.610733032227,0.610733032227,0.389266967773,234
random,9,4,16,0.362808227539,0.003250122070,0.996749877930,110
random,9,4,32,0.152282714844,0.003250122070,0.996749877930,110
random,9,4,64,0.035079956055,0.003250122070,0.996749877930,110
random,9,6,64,0.353637695312,0.161132812500,0.838867187500,176
random,9,6,128,0.185394287109,0.161132812500,0.838867187500,176
random,9,6,256,0.161132812500,0.161132812500,0.838867187500,176
random,9,8,256,0.496124267578,0.470169067383,0.529830932617,309
random,9,8,512,0.470169067383,0.470169067383,0.529830932617,309
random,9,8,1024,0.470169067383,0.470169067383,0.529830932617,309
random,10,4,16,0.326843261719,0.005599975586,0.994400024414,93
random,10,4,32,0.098388671875,0.005599975586,0.994400024414,93
random,10,4,64,0.010955810547,0.005599975586,0.994400024414,93
random,10,6,64,0.235977172852,0.008148193359,0.991851806641,234
random,10,6,128,0.045532226562,0.008148193359,0.991851806641,234
random,10,6,256,0.008148193359,0.008148193359,0.991851806641,234
random,10,8,256,0.686782836914,0.664306640625,0.335693359375,335
random,10,8,512,0.664306640625,0.664306640625,0.335693359375,335
random,10,8,1024,0.664306640625,0.664306640625,0.335693359375,335
random,11,4,16,0.359741210938,0.001251220703,0.998748779297,110
random,11,4,32,0.140350341797,0.001251220703,0.998748779297,110
random,11,4,64,0.016326904297,0.001251220703,0.998748779297,110
random,11,6,64,0.353225708008,0.038101196289,0.961898803711,243
random,11,6,128,0.083038330078,0.038101196289,0.961898803711,243
random,11,6,256,0.038101196289,0.038101196289,0.961898803711,243
random,11,8,256,0.579650878906,0.579650878906,0.420349121094,245
random,11,8,512,0.579650878906,0.579650878906,0.420349121094,245
random,11,8,1024,0.579650878906,0.579650878906,0.420349121094,245
random,12,4,16,0.397308349609,0.007736206055,0.992263793945,139
random,12,4,32,0.152023315430,0.007736206055,0.992263793945,139
random,12,4,64,0.036254882812,0.007736206055,0.992263793945,139
random,12,6,64,0.421508789062,0.160614013672,0.839385986328,179
random,12,6,128,0.191390991211,0.160614013672,0.839385986328,179
random,12,6,256,0.160614013672,0.160614013672,0.839385986328,179
random,12,8,256,0.396057128906,0.396057128906,0.603942871094,231
random,12,8,512,0.396057128906,0.396057128906,0.603942871094,231
random,12,8,1024,0.396057128906,0.396057128906,0.603942871094,231
random,13,4,16,0.337890625000,0.004486083984,0.995513916016,78
random,13,4,32,0.100173950195,0.004486083984,0.995513916016,78
random,13,4,64,0.007034301758,0.004486083984,0.995513916016,78
random,13,6,64,0.415832519531,0.006744384766,0.993255615234,401
random,13,6,128,0.265106201172,0.006744384766,0.993255615234,401
random,13,6,256,0.135787963867,0.006744384766,0.993255615234,401
random,13,8,256,0.285751342773,0.010406494141,0.989593505859,434
random,13,8,512,0.010406494141,0.010406494141,0.989593505859,434
random,13,8,1024,0.010406494141,0.010406494141,0.989593505859,434
random,14,4,16,0.342544555664,0.002090454102,0.997909545898,87
random,14,4,32,0.102645874023,0.002090454102,0.997909545898,87
random,14,4,64,0.006439208984,0.002090454102,0.997909545898,87
random,14,6,64,0.345275878906,0.002868652344,0.997131347656,223
random,14,6,128,0.082077026367,0.002868652344,0.997131347656,223
random,14,6,256,0.002868652344,0.002868652344,0.997131347656,223
random,14,8,256,0.222610473633,0.078460693359,0.921539306641,439
random,14,8,512,0.078460693359,0.078460693359,0.921539306641,439
random,14,8,1024,0.078460693359,0.078460693359,0.921539306641,439
random,15,4,16,0.340530395508,0.010131835938,0.989868164062,84
random,15,4,32,0.115264892578,0.010131835938,0.989868164062,84
random,15,4,64,0.012252807617,0.010131835938,0.989868164062,84
random,15,6,64,0.389831542969,0.054000854492,0.945999145508,291
random,15,6,128,0.131622314453,0.054000854492,0.945999145508,291
random,15,6,256,0.058044433594,0.054000854492,0.945999145508,291
random,15,8,256,0.369064331055,0.364257812500,0.635742187500,291
random,15,8,512,0.364257812500,0.364257812500,0.635742187500,291
random,15,8,1024,0.364257812500,0.364257812500,0.635742187500,291
random,16,4,16,0.346771240234,0.000198364258,0.999801635742,102
random,16,4,32,0.118316650391,0.000198364258,0.999801635742,102
random,16,4,64,0.012832641602,0.000198364258,0.999801635742,102
random,16,6,64,0.433776855469,0.109680175781,0.890319824219,277
random,16,6,128,0.206192016602,0.109680175781,0.890319824219,277
random,16,6,256,0.112365722656,0.109680175781,0.890319824219,277
random,16,8,256,0.464630126953,0.464630126953,0.535369873047,245
random,16,8,512,0.464630126953,0.464630126953,0.535369873047,245
random,16,8,1024,0.464630126953,0.464630126953,0.535369873047,245
random,17,4,16,0.351028442383,0.000000000000,1.000000000000,121
random,17,4,32,0.124725341797,0.000000000000,1.000000000000,121
random,17,4,64,0.020004272461,0.000000000000,1.000000000000,121
random,17,6,64,0.311370849609,0.037719726562,0.962280273438,200
random,17,6,128,0.080856323242,0.037719726562,0.962280273438,200
random,17,6,256,0.037719726562,0.037719726562,0.962280273438,200
random,17,8,256,0.264846801758,0.243484497070,0.756515502930,308
random,17,8,512,0.243484497070,0.243484497070,0.756515502930,308
random,17,8,1024,0.243484497070,0.243484497070,0.756515502930,308
random,18,4,16,0.339279174805,0.005752563477,0.994247436523,86
random,18,4,32,0.112808227539,0.005752563477,0.994247436523,86
random,18,4,64,0.011215209961,0.005752563477,0.994247436523,86
random,18,6,64,0.351196289062,0.108337402344,0.891662597656,236
random,18,6,128,0.189758300781,0.108337402344,0.891662597656,236
random,18,6,256,0.108337402344,0.108337402344,0.891662597656,236
random,18,8,256,0.752655029297,0.752655029297,0.247344970703,199
random,18,8,512,0.752655029297,0.752655029297,0.247344970703,199
random,18,8,1024,0.752655029297,0.752655029297,0.247344970703,199
random,19,4,16,0.390792846680,0.003982543945,0.996017456055,129
random,19,4,32,0.164581298828,0.003982543945,0.996017456055,129
random,19,4,64,0.033065795898,0.003982543945,0.996017456055,129
random,19,6,64,0.497970581055,0.005310058594,0.994689941406,355
random,19,6,128,0.261337280273,0.005310058594,0.994689941406,355
random,19,6,256,0.048065185547,0.005310058594,0.994689941406,355
random,19,8,256,0.444503784180,0.439437866211,0.560562133789,276
random,19,8,512,0.439437866211,0.439437866211,0.560562133789,276
random,19,8,1024,0.439437866211,0.439437866211,0.560562133789,276
random,20,4,16,0.351043701172,0.003036499023,0.996963500977,124
random,20,4,32,0.122192382812,0.003036499023,0.996963500977,124
random,20,4,64,0.036666870117,0.003036499023,0.996963500977,124
random,20,6,64,0.349990844727,0.012115478516,0.987884521484,370
random,20,6,128,0.116088867188,0.012115478516,0.987884521484,370
random,20,6,256,0.028167724609,0.012115478516,0.987884521484,370
random,20,8,256,0.253311157227,0.019012451172,0.980987548828,498
random,20,8,512,0.019012451172,0.019012451172,0.980987548828,498
random,20,8,1024,0.019012451172,0.019012451172,0.980987548828,498
random,21,4,16,0.355117797852,0.004180908203,0.995819091797,102
random,21,4,32,0.122299194336,0.004180908203,0.995819091797,102
random,21,4,64,0.026962280273,0.004180908203,0.995819091797,102
random,21,6,64,0.429885864258,0.011856079102,0.988143920898,234
random,21,6,128,0.179992675781,0.011856079102,0.988143920898,234
random,21,6,256,0.011856079102,0.011856079102,0.988143920898,234
random,21,8,256,0.551162719727,0.551162719727,0.448837280273,244
random,21,8,512,0.551162719727,0.551162719727,0.448837280273,244
random,21,8,1024,0.551162719727,0.551162719727,0.448837280273,244
random,22,4,16,0.347229003906,0.000106811523,0.999893188477,77
random,22,4,32,0.111328125000,0.000106811523,0.999893188477,77
random,22,4,64,0.006591796875,0.000106811523,0.999893188477,77
