config,trial,map_type,b,N,m,d,limit,limit_over_mean,covered_states,coverage_fraction,stored_chains,truncated_chains,truncation_fraction,distinct_endpoints,mean_stored_transitions,theory_truncation_fraction
dp-d6-l64,2,des,16,65536,1024,6,64,1.000,6202,0.094635009766,662,362,0.353515625000,139,28.516616,0.364986524244
dp-d6-l64,2,random,16,65536,1024,6,64,1.000,5846,0.089202880859,622,402,0.392578125000,141,27.347267,0.364986524244
dp-d6-l128,2,des,16,65536,1024,6,128,2.000,9186,0.140167236328,928,96,0.093750000000,139,45.741379,0.133215162880
dp-d6-l128,2,random,16,65536,1024,6,128,2.000,8563,0.130661010742,869,155,0.151367187500,141,44.570771,0.133215162880
dp-d6-l256,2,des,16,65536,1024,6,256,4.000,10129,0.154556274414,1020,4,0.003906250000,139,55.157843,0.017746279621
dp-d6-l256,2,random,16,65536,1024,6,256,4.000,9973,0.152175903320,986,38,0.037109375000,141,61.766734,0.017746279621
dp-d8-l256,2,des,16,65536,1024,8,256,1.000,7280,0.111083984375,707,317,0.309570312500,33,107.185290,0.367159754892
dp-d8-l256,2,random,16,65536,1024,8,256,1.000,7311,0.111557006836,690,334,0.326171875000,44,110.276812,0.367159754892
dp-d8-l512,2,des,16,65536,1024,8,512,2.000,7510,0.114593505859,724,300,0.292968750000,33,111.334254,0.134806285612
dp-d8-l512,2,random,16,65536,1024,8,512,2.000,10000,0.152587890625,935,89,0.086914062500,44,176.961497,0.134806285612
dp-d8-l1024,2,des,16,65536,1024,8,1024,4.000,7510,0.114593505859,724,300,0.292968750000,33,111.334254,0.018172734641
dp-d8-l1024,2,random,16,65536,1024,8,1024,4.000,10000,0.152587890625,935,89,0.086914062500,44,176.961497,0.018172734641
dp-d4-l16,3,des,16,65536,1024,4,16,1.000,3683,0.056198120117,670,354,0.345703125000,452,7.083582,0.356074130452
dp-d4-l16,3,random,16,65536,1024,4,16,1.000,3534,0.053924560547,615,409,0.399414062500,416,7.271545,0.356074130452
dp-d4-l32,3,des,16,65536,1024,4,32,2.000,6246,0.095306396484,893,131,0.127929687500,476,11.145577,0.126788786377
dp-d4-l32,3,random,16,65536,1024,4,32,2.000,6112,0.093261718750,866,158,0.154296875000,448,11.824480,0.126788786377
dp-d4-l64,3,des,16,65536,1024,4,64,4.000,7731,0.117965698242,1018,6,0.005859375000,476,14.989194,0.016075396351
dp-d4-l64,3,random,16,65536,1024,4,64,4.000,7559,0.115341186523,996,28,0.027343750000,449,15.850402,0.016075396351
dp-d6-l64,3,des,16,65536,1024,6,64,1.000,6327,0.096542358398,677,347,0.338867187500,146,28.205318,0.364986524244
dp-d6-l64,3,random,16,65536,1024,6,64,1.000,5514,0.084136962891,595,429,0.418945312500,127,28.181513,0.364986524244
dp-d6-l128,3,des,16,65536,1024,6,128,2.000,9271,0.141464233398,931,93,0.090820312500,146,44.961332,0.133215162880
dp-d6-l128,3,random,16,65536,1024,6,128,2.000,8377,0.127822875977,867,157,0.153320312500,127,48.202999,0.133215162880
dp-d6-l256,3,des,16,65536,1024,6,256,4.000,10238,0.156219482422,1018,6,0.005859375000,146,54.150295,0.017746279621
dp-d6-l256,3,random,16,65536,1024,6,256,4.000,9817,0.149795532227,1000,24,0.023437500000,127,63.451000,0.017746279621
dp-d8-l256,3,des,16,65536,1024,8,256,1.000,7473,0.114028930664,717,307,0.299804687500,43,111.794979,0.367159754892
dp-d8-l256,3,random,16,65536,1024,8,256,1.000,8267,0.126144409180,808,216,0.210937500000,27,106.284653,0.367159754892
dp-d8-l512,3,des,16,65536,1024,8,512,2.000,7664,0.116943359375,727,297,0.290039062500,43,114.147180,0.134806285612
dp-d8-l512,3,random,16,65536,1024,8,512,2.000,8303,0.126693725586,811,213,0.208007812500,27,106.859433,0.134806285612
dp-d8-l1024,3,des,16,65536,1024,8,1024,4.000,7664,0.116943359375,727,297,0.290039062500,43,114.147180,0.018172734641
dp-d8-l1024,3,random,16,65536,1024,8,1024,4.000,8303,0.126693725586,811,213,0.208007812500,27,106.859433,0.018172734641
dp-d4-l16,4,des,16,65536,1024,4,16,1.000,3917,0.059768676758,693,331,0.323242187500,458,7.180375,0.356074130452
dp-d4-l16,4,random,16,65536,1024,4,16,1.000,3802,0.058013916016,673,351,0.342773437500,447,7.190193,0.356074130452
dp-d4-l32,4,des,16,65536,1024,4,32,2.000,6182,0.094329833984,899,125,0.122070312500,483,10.794216,0.126788786377
dp-d4-l32,4,random,16,65536,1024,4,32,2.000,6490,0.099029541016,901,123,0.120117187500,472,11.439512,0.126788786377
dp-d4-l64,4,des,16,65536,1024,4,64,4.000,7523,0.114791870117,1015,9,0.008789062500,484,14.401970,0.016075396351
dp-d4-l64,4,random,16,65536,1024,4,64,4.000,7773,0.118606567383,1007,17,0.016601562500,473,14.766634,0.016075396351
dp-d6-l64,4,des,16,65536,1024,6,64,1.000,6234,0.095123291016,675,349,0.340820312500,138,28.708148,0.364986524244
dp-d6-l64,4,random,16,65536,1024,6,64,1.000,6834,0.104278564453,725,299,0.291992187500,156,28.171034,0.364986524244
dp-d6-l128,4,des,16,65536,1024,6,128,2.000,9145,0.139541625977,942,82,0.080078125000,138,46.225053,0.133215162880
dp-d6-l128,4,random,16,65536,1024,6,128,2.000,9348,0.142639160156,956,68,0.066406250000,156,43.348326,0.133215162880
dp-d6-l256,4,des,16,65536,1024,6,256,4.000,10102,0.154144287109,1023,1,0.000976562500,138,54.560117,0.017746279621
dp-d6-l256,4,random,16,65536,1024,6,256,4.000,10116,0.154357910156,1024,0,0.000000000000,156,50.587891,0.017746279621
dp-d8-l256,4,des,16,65536,1024,8,256,1.000,7513,0.114639282227,733,291,0.284179687500,32,108.750341,0.367159754892
dp-d8-l256,4,random,16,65536,1024,8,256,1.000,5439,0.082992553711,514,510,0.498046875000,46,76.830739,0.367159754892
dp-d8-l512,4,des,16,65536,1024,8,512,2.000,7748,0.118225097656,755,269,0.262695312500,32,113.686093,0.134806285612
dp-d8-l512,4,random,16,65536,1024,8,512,2.000,5439,0.082992553711,514,510,0.498046875000,46,76.830739,0.134806285612
dp-d8-l1024,4,des,16,65536,1024,8,1024,4.000,7748,0.118225097656,755,269,0.262695312500,32,113.686093,0.018172734641
dp-d8-l1024,4,random,16,65536,1024,8,1024,4.000,5439,0.082992553711,514,510,0.498046875000,46,76.830739,0.018172734641
dp-d4-l16,5,des,16,65536,1024,4,16,1.000,3819,0.058273315430,671,353,0.344726562500,442,7.211624,0.356074130452
dp-d4-l16,5,random,16,65536,1024,4,16,1.000,3753,0.057266235352,645,379,0.370117187500,433,7.234109,0.356074130452
dp-d4-l32,5,des,16,65536,1024,4,32,2.000,6268,0.095642089844,887,137,0.133789062500,467,10.918828,0.126788786377
dp-d4-l32,5,random,16,65536,1024,4,32,2.000,6422,0.097991943359,900,124,0.121093750000,454,11.643333,0.126788786377
dp-d4-l64,5,des,16,65536,1024,4,64,4.000,7783,0.118759155273,1016,8,0.007812500000,467,15.056102,0.016075396351
dp-d4-l64,5,random,16,65536,1024,4,64,4.000,7830,0.119476318359,1013,11,0.010742187500,456,15.216190,0.016075396351
dp-d6-l64,5,des,16,65536,1024,6,64,1.000,5947,0.090744018555,648,376,0.367187500000,145,28.222222,0.364986524244
dp-d6-l64,5,random,16,65536,1024,6,64,1.000,7014,0.107025146484,752,272,0.265625000000,152,26.687500,0.364986524244
dp-d6-l128,5,des,16,65536,1024,6,128,2.000,9161,0.139785766602,939,85,0.083007812500,145,47.316294,0.133215162880
dp-d6-l128,5,random,16,65536,1024,6,128,2.000,9113,0.139053344727,933,91,0.088867187500,152,39.329046,0.133215162880
dp-d6-l256,5,des,16,65536,1024,6,256,4.000,10078,0.153778076172,1022,2,0.001953125000,145,55.799413,0.017746279621
dp-d6-l256,5,random,16,65536,1024,6,256,4.000,9986,0.152374267578,1016,8,0.007812500000,152,49.546260,0.017746279621
dp-d8-l256,5,des,16,65536,1024,8,256,1.000,7239,0.110458374023,707,317,0.309570312500,39,109.953324,0.367159754892
dp-d8-l256,5,random,16,65536,1024,8,256,1.000,4251,0.064865112305,436,588,0.574218750000,48,65.651376,0.367159754892
dp-d8-l512,5,des,16,65536,1024,8,512,2.000,7466,0.113922119141,728,296,0.289062500000,39,114.978022,0.134806285612
dp-d8-l512,5,random,16,65536,1024,8,512,2.000,4251,0.064865112305,436,588,0.574218750000,48,65.651376,0.134806285612
dp-d8-l1024,5,des,16,65536,1024,8,1024,4.000,7466,0.113922119141,728,296,0.289062500000,39,114.978022,0.018172734641
dp-d8-l1024,5,random,16,65536,1024,8,1024,4.000,4251,0.064865112305,436,588,0.574218750000,48,65.651376,0.018172734641
dp-d4-l16,6,des,16,65536,1024,4,16,1.000,3753,0.057266235352,657,367,0.358398437500,454,7.158295,0.356074130452
dp-d4-l16,6,random,16,65536,1024,4,16,1.000,3855,0.058822631836,677,347,0.338867187500,453,7.156573,0.356074130452
dp-d4-l32,6,des,16,65536,1024,4,32,2.000,6264,0.095581054688,878,146,0.142578125000,476,11.215262,0.126788786377
dp-d4-l32,6,random,16,65536,1024,4,32,2.000,6396,0.097595214844,907,117,0.114257812500,479,11.328556,0.126788786377
dp-d4-l64,6,des,16,65536,1024,4,64,4.000,7709,0.117630004883,1007,17,0.016601562500,476,15.448858,0.016075396351
dp-d4-l64,6,random,16,65536,1024,4,64,4.000,7599,0.115951538086,1009,15,0.014648437500,480,14.382557,0.016075396351
dp-d6-l64,6,des,16,65536,1024,6,64,1.000,6152,0.093872070312,652,372,0.363281250000,138,27.552147,0.364986524244
dp-d6-l64,6,random,16,65536,1024,6,64,1.000,6036,0.092102050781,662,362,0.353515625000,147,28.161631,0.364986524244
dp-d6-l128,6,des,16,65536,1024,6,128,2.000,9305,0.141983032227,929,95,0.092773437500,138,46.103337,0.133215162880
dp-d6-l128,6,random,16,65536,1024,6,128,2.000,8596,0.131164550781,879,145,0.141601562500,147,43.151308,0.133215162880
dp-d6-l256,6,des,16,65536,1024,6,256,4.000,10349,0.157913208008,1022,2,0.001953125000,138,55.721135,0.017746279621
dp-d6-l256,6,random,16,65536,1024,6,256,4.000,9183,0.140121459961,927,97,0.094726562500,147,49.152104,0.017746279621
dp-d8-l256,6,des,16,65536,1024,8,256,1.000,7478,0.114105224609,706,318,0.310546875000,36,111.501416,0.367159754892
dp-d8-l256,6,random,16,65536,1024,8,256,1.000,5712,0.087158203125,563,461,0.450195312500,34,116.399645,0.367159754892
dp-d8-l512,6,des,16,65536,1024,8,512,2.000,7699,0.117477416992,725,299,0.291992187500,36,115.948966,0.134806285612
dp-d8-l512,6,random,16,65536,1024,8,512,2.000,7669,0.117019653320,737,287,0.280273437500,34,175.033921,0.134806285612
dp-d8-l1024,6,des,16,65536,1024,8,1024,4.000,7699,0.117477416992,725,299,0.291992187500,36,115.948966,0.018172734641
dp-d8-l1024,6,random,16,65536,1024,8,1024,4.000,7669,0.117019653320,737,287,0.280273437500,34,175.033921,0.018172734641
dp-d4-l16,7,des,16,65536,1024,4,16,1.000,3808,0.058105468750,672,352,0.343750000000,463,7.095238,0.356074130452
dp-d4-l16,7,random,16,65536,1024,4,16,1.000,3678,0.056121826172,662,362,0.353515625000,443,7.015106,0.356074130452
dp-d4-l32,7,des,16,65536,1024,4,32,2.000,6294,0.096038818359,897,127,0.124023437500,486,11.250836,0.126788786377
dp-d4-l32,7,random,16,65536,1024,4,32,2.000,6419,0.097946166992,919,105,0.102539062500,462,11.648531,0.126788786377
dp-d4-l64,7,des,16,65536,1024,4,64,4.000,7606,0.116058349609,1012,12,0.011718750000,487,14.984190,0.016075396351
dp-d4-l64,7,random,16,65536,1024,4,64,4.000,7527,0.114852905273,1019,5,0.004882812500,464,14.675172,0.016075396351
dp-d6-l64,7,des,16,65536,1024,6,64,1.000,6567,0.100204467773,692,332,0.324218750000,147,29.511561,0.364986524244
dp-d6-l64,7,random,16,65536,1024,6,64,1.000,5694,0.086883544922,649,375,0.366210937500,144,27.308166,0.364986524244
dp-d6-l128,7,des,16,65536,1024,6,128,2.000,9318,0.142181396484,935,89,0.086914062500,147,44.886631,0.133215162880
dp-d6-l128,7,random,16,65536,1024,6,128,2.000,8041,0.122695922852,857,167,0.163085937500,144,43.109685,0.133215162880
dp-d6-l256,7,des,16,65536,1024,6,256,4.000,10246,0.156341552734,1023,1,0.000976562500,147,53.932551,0.017746279621
dp-d6-l256,7,random,16,65536,1024,6,256,4.000,9223,0.140731811523,968,56,0.054687500000,144,58.541322,0.017746279621
dp-d8-l256,7,des,16,65536,1024,8,256,1.000,7268,0.110900878906,693,331,0.323242187500,35,106.259740,0.367159754892
dp-d8-l256,7,random,16,65536,1024,8,256,1.000,6482,0.098907470703,644,380,0.371093750000,35,137.108696,0.367159754892
dp-d8-l512,7,des,16,65536,1024,8,512,2.000,7478,0.114105224609,714,310,0.302734375000,35,111.261905,0.134806285612
dp-d8-l512,7,random,16,65536,1024,8,512,2.000,10116,0.154357910156,985,39,0.038085937500,35,210.119797,0.134806285612
dp-d8-l1024,7,des,16,65536,1024,8,1024,4.000,7478,0.114105224609,714,310,0.302734375000,35,111.261905,0.018172734641
dp-d8-l1024,7,random,16,65536,1024,8,1024,4.000,10116,0.154357910156,985,39,0.038085937500,35,210.119797,0.018172734641
dp-d4-l16,8,des,16,65536,1024,4,16,1.000,3654,0.055755615234,667,357,0.348632812500,459,6.910045,0.356074130452
dp-d4-l16,8,random,16,65536,1024,4,16,1.000,3786,0.057769775391,672,352,0.343750000000,441,7.156250,0.356074130452
dp-d4-l32,8,des,16,65536,1024,4,32,2.000,6302,0.096160888672,901,123,0.120117187500,481,11.146504,0.126788786377
dp-d4-l32,8,random,16,65536,1024,4,32,2.000,6364,0.097106933594,893,131,0.127929687500,466,11.129899,0.126788786377
dp-d4-l64,8,des,16,65536,1024,4,64,4.000,7658,0.116851806641,1008,16,0.015625000000,481,14.695437,0.016075396351
dp-d4-l64,8,random,16,65536,1024,4,64,4.000,7525,0.114822387695,996,28,0.027343750000,467,14.680723,0.016075396351
dp-d6-l64,8,des,16,65536,1024,6,64,1.000,6199,0.094589233398,675,349,0.340820312500,167,26.568889,0.364986524244
dp-d6-l64,8,random,16,65536,1024,6,64,1.000,5628,0.085876464844,639,385,0.375976562500,155,25.532081,0.364986524244
dp-d6-l128,8,des,16,65536,1024,6,128,2.000,9175,0.139999389648,938,86,0.083984375000,167,44.315565,0.133215162880
dp-d6-l128,8,random,16,65536,1024,6,128,2.000,7360,0.112304687500,785,239,0.233398437500,155,37.217834,0.133215162880
dp-d6-l256,8,des,16,65536,1024,6,256,4.000,10120,0.154418945312,1019,5,0.004882812500,167,52.719333,0.017746279621
dp-d6-l256,8,random,16,65536,1024,6,256,4.000,9302,0.141937255859,965,59,0.057617187500,155,63.531606,0.017746279621
dp-d8-l256,8,des,16,65536,1024,8,256,1.000,7323,0.111740112305,701,323,0.315429687500,41,110.281027,0.367159754892
dp-d8-l256,8,random,16,65536,1024,8,256,1.000,4129,0.063003540039,417,607,0.592773437500,38,70.009592,0.367159754892
dp-d8-l512,8,des,16,65536,1024,8,512,2.000,7558,0.115325927734,718,306,0.298828125000,41,114.268802,0.134806285612
dp-d8-l512,8,random,16,65536,1024,8,512,2.000,4129,0.063003540039,417,607,0.592773437500,38,70.009592,0.134806285612
dp-d8-l1024,8,des,16,65536,1024,8,1024,4.000,7558,0.115325927734,718,306,0.298828125000,41,114.268802,0.018172734641
dp-d8-l1024,8,random,16,65536,1024,8,1024,4.000,4129,0.063003540039,417,607,0.592773437500,38,70.009592,0.018172734641
dp-d4-l16,9,des,16,65536,1024,4,16,1.000,3772,0.057556152344,664,360,0.351562500000,439,7.308735,0.356074130452
dp-d4-l16,9,random,16,65536,1024,4,16,1.000,3769,0.057510375977,666,358,0.349609375000,446,7.241742,0.356074130452
dp-d4-l32,9,des,16,65536,1024,4,32,2.000,6365,0.097122192383,903,121,0.118164062500,464,11.390919,0.126788786377
dp-d4-l32,9,random,16,65536,1024,4,32,2.000,6134,0.093597412109,873,151,0.147460937500,470,11.029782,0.126788786377
dp-d4-l64,9,des,16,65536,1024,4,64,4.000,7555,0.115280151367,1016,8,0.007812500000,465,15.007874,0.016075396351
dp-d4-l64,9,random,16,65536,1024,4,64,4.000,7513,0.114639282227,992,32,0.031250000000,470,15.154234,0.016075396351
