config,trial,map_type,b,N,m,d,limit,limit_over_mean,covered_states,coverage_fraction,stored_chains,truncated_chains,truncation_fraction,distinct_endpoints,mean_stored_transitions,theory_truncation_fraction
dp-d8-l256,11,des,16,65536,1024,8,256,1.000,7343,0.112045288086,718,306,0.298828125000,40,107.608635,0.367159754892
dp-d8-l256,11,random,16,65536,1024,8,256,1.000,4272,0.065185546875,416,608,0.593750000000,40,69.923077,0.367159754892
dp-d8-l512,11,des,16,65536,1024,8,512,2.000,7583,0.115707397461,741,283,0.276367187500,40,112.975709,0.134806285612
dp-d8-l512,11,random,16,65536,1024,8,512,2.000,4272,0.065185546875,416,608,0.593750000000,40,69.923077,0.134806285612
dp-d8-l1024,11,des,16,65536,1024,8,1024,4.000,7583,0.115707397461,741,283,0.276367187500,40,112.975709,0.018172734641
dp-d8-l1024,11,random,16,65536,1024,8,1024,4.000,4272,0.065185546875,416,608,0.593750000000,40,69.923077,0.018172734641
dp-d4-l16,12,des,16,65536,1024,4,16,1.000,3781,0.057693481445,668,356,0.347656250000,455,7.038922,0.356074130452
dp-d4-l16,12,random,16,65536,1024,4,16,1.000,3433,0.052383422852,638,386,0.376953125000,431,6.802508,0.356074130452
dp-d4-l32,12,des,16,65536,1024,4,32,2.000,6469,0.098709106445,906,118,0.115234375000,482,11.290287,0.126788786377
dp-d4-l32,12,random,16,65536,1024,4,32,2.000,6066,0.092559814453,875,149,0.145507812500,458,11.187429,0.126788786377
dp-d4-l64,12,des,16,65536,1024,4,64,4.000,7735,0.118026733398,1012,12,0.011718750000,484,14.515810,0.016075396351
dp-d4-l64,12,random,16,65536,1024,4,64,4.000,7319,0.111679077148,982,42,0.041015625000,459,14.799389,0.016075396351
dp-d6-l64,12,des,16,65536,1024,6,64,1.000,6200,0.094604492188,666,358,0.349609375000,158,26.782282,0.364986524244
dp-d6-l64,12,random,16,65536,1024,6,64,1.000,5390,0.082244873047,596,428,0.417968750000,130,28.098993,0.364986524244
dp-d6-l128,12,des,16,65536,1024,6,128,2.000,9349,0.142654418945,946,78,0.076171875000,158,45.167019,0.133215162880
dp-d6-l128,12,random,16,65536,1024,6,128,2.000,7812,0.119201660156,816,208,0.203125000000,130,45.398284,0.133215162880
dp-d6-l256,12,des,16,65536,1024,6,256,4.000,10213,0.155838012695,1019,5,0.004882812500,158,52.710500,0.017746279621
dp-d6-l256,12,random,16,65536,1024,6,256,4.000,8197,0.125076293945,846,178,0.173828125000,130,48.697400,0.017746279621
dp-d8-l256,12,des,16,65536,1024,8,256,1.000,7322,0.111724853516,699,325,0.317382812500,44,106.796853,0.367159754892
dp-d8-l256,12,random,16,65536,1024,8,256,1.000,6076,0.092712402344,568,456,0.445312500000,26,90.607394,0.367159754892
dp-d8-l512,12,des,16,65536,1024,8,512,2.000,7526,0.114837646484,717,307,0.299804687500,44,111.119944,0.134806285612
dp-d8-l512,12,random,16,65536,1024,8,512,2.000,6076,0.092712402344,568,456,0.445312500000,26,90.607394,0.134806285612
dp-d8-l1024,12,des,16,65536,1024,8,1024,4.000,7526,0.114837646484,717,307,0.299804687500,44,111.119944,0.018172734641
dp-d8-l1024,12,random,16,65536,1024,8,1024,4.000,6076,0.092712402344,568,456,0.445312500000,26,90.607394,0.018172734641
dp-d4-l16,13,des,16,65536,1024,4,16,1.000,3789,0.057815551758,678,346,0.337890625000,446,7.035398,0.356074130452
dp-d4-l16,13,random,16,65536,1024,4,16,1.000,3799,0.057968139648,672,352,0.343750000000,436,7.275298,0.356074130452
dp-d4-l32,13,des,16,65536,1024,4,32,2.000,6417,0.097915649414,918,106,0.103515625000,469,11.252723,0.126788786377
dp-d4-l32,13,random,16,65536,1024,4,32,2.000,6509,0.099319458008,908,116,0.113281250000,463,11.274229,0.126788786377
dp-d4-l64,13,des,16,65536,1024,4,64,4.000,7735,0.118026733398,1018,6,0.005859375000,470,14.423379,0.016075396351
dp-d4-l64,13,random,16,65536,1024,4,64,4.000,7636,0.116516113281,1016,8,0.007812500000,463,14.553150,0.016075396351
dp-d6-l64,13,des,16,65536,1024,6,64,1.000,6343,0.096786499023,712,312,0.304687500000,162,27.316011,0.364986524244
dp-d6-l64,13,random,16,65536,1024,6,64,1.000,5554,0.084747314453,618,406,0.396484375000,152,25.707120,0.364986524244
dp-d6-l128,13,des,16,65536,1024,6,128,2.000,9240,0.140991210938,953,71,0.069335937500,162,42.750262,0.133215162880
dp-d6-l128,13,random,16,65536,1024,6,128,2.000,7119,0.108627319336,747,277,0.270507812500,152,37.184739,0.133215162880
dp-d6-l256,13,des,16,65536,1024,6,256,4.000,10129,0.154556274414,1021,3,0.002929687500,162,50.077375,0.017746279621
dp-d6-l256,13,random,16,65536,1024,6,256,4.000,8485,0.129470825195,869,155,0.151367187500,152,55.294591,0.017746279621
dp-d8-l256,13,des,16,65536,1024,8,256,1.000,7397,0.112869262695,693,331,0.323242187500,37,104.763348,0.367159754892
dp-d8-l256,13,random,16,65536,1024,8,256,1.000,7661,0.116897583008,725,299,0.291992187500,37,115.365517,0.367159754892
dp-d8-l512,13,des,16,65536,1024,8,512,2.000,7645,0.116653442383,720,304,0.296875000000,37,111.127778,0.134806285612
dp-d8-l512,13,random,16,65536,1024,8,512,2.000,10584,0.161499023438,1012,12,0.011718750000,37,174.960474,0.134806285612
dp-d8-l1024,13,des,16,65536,1024,8,1024,4.000,7645,0.116653442383,720,304,0.296875000000,37,111.127778,0.018172734641
dp-d8-l1024,13,random,16,65536,1024,8,1024,4.000,10584,0.161499023438,1012,12,0.011718750000,37,174.960474,0.018172734641
dp-d4-l16,14,des,16,65536,1024,4,16,1.000,3950,0.060272216797,689,335,0.327148437500,451,7.256894,0.356074130452
dp-d4-l16,14,random,16,65536,1024,4,16,1.000,3805,0.058059692383,674,350,0.341796875000,448,7.139466,0.356074130452
dp-d4-l32,14,des,16,65536,1024,4,32,2.000,6569,0.100234985352,912,112,0.109375000000,471,11.153509,0.126788786377
dp-d4-l32,14,random,16,65536,1024,4,32,2.000,6395,0.097579956055,908,116,0.113281250000,472,11.374449,0.126788786377
dp-d4-l64,14,des,16,65536,1024,4,64,4.000,7818,0.119293212891,1011,13,0.012695312500,472,14.312562,0.016075396351
dp-d4-l64,14,random,16,65536,1024,4,64,4.000,7644,0.116638183594,1014,10,0.009765625000,474,14.693294,0.016075396351
dp-d6-l64,14,des,16,65536,1024,6,64,1.000,6169,0.094131469727,666,358,0.349609375000,151,27.803303,0.364986524244
dp-d6-l64,14,random,16,65536,1024,6,64,1.000,5954,0.090850830078,652,372,0.363281250000,153,26.861963,0.364986524244
dp-d6-l128,14,des,16,65536,1024,6,128,2.000,9138,0.139434814453,920,104,0.101562500000,151,44.964130,0.133215162880
dp-d6-l128,14,random,16,65536,1024,6,128,2.000,9078,0.138519287109,940,84,0.082031250000,153,46.724468,0.133215162880
dp-d6-l256,14,des,16,65536,1024,6,256,4.000,10174,0.155242919922,1020,4,0.003906250000,151,55.140196,0.017746279621
dp-d6-l256,14,random,16,65536,1024,6,256,4.000,9883,0.150802612305,1020,4,0.003906250000,153,56.196078,0.017746279621
dp-d8-l256,14,des,16,65536,1024,8,256,1.000,7337,0.111953735352,695,329,0.321289062500,40,108.033094,0.367159754892
dp-d8-l256,14,random,16,65536,1024,8,256,1.000,7970,0.121612548828,781,243,0.237304687500,34,132.768246,0.367159754892
dp-d8-l512,14,des,16,65536,1024,8,512,2.000,7509,0.114578247070,711,313,0.305664062500,40,111.696203,0.134806285612
dp-d8-l512,14,random,16,65536,1024,8,512,2.000,9666,0.147491455078,933,91,0.088867187500,34,159.944266,0.134806285612
dp-d8-l1024,14,des,16,65536,1024,8,1024,4.000,7509,0.114578247070,711,313,0.305664062500,40,111.696203,0.018172734641
dp-d8-l1024,14,random,16,65536,1024,8,1024,4.000,9666,0.147491455078,933,91,0.088867187500,34,159.944266,0.018172734641
dp-d4-l16,15,des,16,65536,1024,4,16,1.000,3715,0.056686401367,647,377,0.368164062500,433,7.115920,0.356074130452
dp-d4-l16,15,random,16,65536,1024,4,16,1.000,3877,0.059158325195,676,348,0.339843750000,440,7.199704,0.356074130452
dp-d4-l32,15,des,16,65536,1024,4,32,2.000,6421,0.097976684570,893,131,0.127929687500,461,11.499440,0.126788786377
dp-d4-l32,15,random,16,65536,1024,4,32,2.000,6448,0.098388671875,899,125,0.122070312500,473,11.241379,0.126788786377
dp-d4-l64,15,des,16,65536,1024,4,64,4.000,7965,0.121536254883,1017,7,0.006835937500,461,15.357915,0.016075396351
dp-d4-l64,15,random,16,65536,1024,4,64,4.000,7800,0.119018554688,1016,8,0.007812500000,474,14.855315,0.016075396351
dp-d6-l64,15,des,16,65536,1024,6,64,1.000,6397,0.097610473633,672,352,0.343750000000,140,28.813988,0.364986524244
dp-d6-l64,15,random,16,65536,1024,6,64,1.000,5592,0.085327148438,598,426,0.416015625000,145,26.128763,0.364986524244
dp-d6-l128,15,des,16,65536,1024,6,128,2.000,9384,0.143188476562,935,89,0.086914062500,140,46.350802,0.133215162880
dp-d6-l128,15,random,16,65536,1024,6,128,2.000,8658,0.132110595703,867,157,0.153320312500,145,46.445213,0.133215162880
dp-d6-l256,15,des,16,65536,1024,6,256,4.000,10234,0.156158447266,1020,4,0.003906250000,140,55.010784,0.017746279621
dp-d6-l256,15,random,16,65536,1024,6,256,4.000,9573,0.146072387695,962,62,0.060546875000,145,58.119543,0.017746279621
dp-d8-l256,15,des,16,65536,1024,8,256,1.000,7397,0.112869262695,714,310,0.302734375000,31,110.883754,0.367159754892
dp-d8-l256,15,random,16,65536,1024,8,256,1.000,6736,0.102783203125,643,381,0.372070312500,47,97.707621,0.367159754892
dp-d8-l512,15,des,16,65536,1024,8,512,2.000,7557,0.115310668945,725,299,0.291992187500,31,113.413793,0.134806285612
dp-d8-l512,15,random,16,65536,1024,8,512,2.000,6820,0.104064941406,651,373,0.364257812500,47,99.867896,0.134806285612
dp-d8-l1024,15,des,16,65536,1024,8,1024,4.000,7557,0.115310668945,725,299,0.291992187500,31,113.413793,0.018172734641
dp-d8-l1024,15,random,16,65536,1024,8,1024,4.000,6820,0.104064941406,651,373,0.364257812500,47,99.867896,0.018172734641
dp-d4-l16,16,des,16,65536,1024,4,16,1.000,3815,0.058212280273,675,349,0.340820312500,427,7.450370,0.356074130452
dp-d4-l16,16,random,16,65536,1024,4,16,1.000,3794,0.057891845703,665,359,0.350585937500,437,7.203008,0.356074130452
dp-d4-l32,16,des,16,65536,1024,4,32,2.000,6507,0.099288940430,916,108,0.105468750000,454,11.438865,0.126788786377
dp-d4-l32,16,random,16,65536,1024,4,32,2.000,6335,0.096664428711,899,125,0.122070312500,462,11.404894,0.126788786377
dp-d4-l64,16,des,16,65536,1024,4,64,4.000,7732,0.117980957031,1013,11,0.010742187500,455,14.534057,0.016075396351
dp-d4-l64,16,random,16,65536,1024,4,64,4.000,7659,0.116867065430,1007,17,0.016601562500,465,14.823237,0.016075396351
dp-d6-l64,16,des,16,65536,1024,6,64,1.000,6193,0.094497680664,662,362,0.353515625000,137,28.176737,0.364986524244
dp-d6-l64,16,random,16,65536,1024,6,64,1.000,5203,0.079391479492,575,449,0.438476562500,134,27.161739,0.364986524244
dp-d6-l128,16,des,16,65536,1024,6,128,2.000,9192,0.140258789062,924,100,0.097656250000,137,45.098485,0.133215162880
dp-d6-l128,16,random,16,65536,1024,6,128,2.000,7813,0.119216918945,789,235,0.229492187500,134,44.204056,0.133215162880
dp-d6-l256,16,des,16,65536,1024,6,256,4.000,10242,0.156280517578,1022,2,0.001953125000,137,55.131115,0.017746279621
dp-d6-l256,16,random,16,65536,1024,6,256,4.000,9060,0.138244628906,906,118,0.115234375000,134,61.114790,0.017746279621
dp-d8-l256,16,des,16,65536,1024,8,256,1.000,7239,0.110458374023,695,329,0.321289062500,39,109.517986,0.367159754892
dp-d8-l256,16,random,16,65536,1024,8,256,1.000,5517,0.084182739258,528,496,0.484375000000,38,88.573864,0.367159754892
dp-d8-l512,16,des,16,65536,1024,8,512,2.000,7475,0.114059448242,713,311,0.303710937500,39,113.837307,0.134806285612
dp-d8-l512,16,random,16,65536,1024,8,512,2.000,5517,0.084182739258,528,496,0.484375000000,38,88.573864,0.134806285612
dp-d8-l1024,16,des,16,65536,1024,8,1024,4.000,7475,0.114059448242,713,311,0.303710937500,39,113.837307,0.018172734641
dp-d8-l1024,16,random,16,65536,1024,8,1024,4.000,5517,0.084182739258,528,496,0.484375000000,38,88.573864,0.018172734641
dp-d4-l16,17,des,16,65536,1024,4,16,1.000,3798,0.057952880859,671,353,0.344726562500,433,7.256334,0.356074130452
dp-d4-l16,17,random,16,65536,1024,4,16,1.000,3717,0.056716918945,665,359,0.350585937500,448,7.009023,0.356074130452
dp-d4-l32,17,des,16,65536,1024,4,32,2.000,6563,0.100143432617,895,129,0.125976562500,461,11.260335,0.126788786377
dp-d4-l32,17,random,16,65536,1024,4,32,2.000,6273,0.095718383789,898,126,0.123046875000,476,11.183742,0.126788786377
dp-d4-l64,17,des,16,65536,1024,4,64,4.000,8019,0.122360229492,1014,10,0.009765625000,462,15.102564,0.016075396351
dp-d4-l64,17,random,16,65536,1024,4,64,4.000,7625,0.116348266602,1003,21,0.020507812500,476,14.583250,0.016075396351
dp-d6-l64,17,des,16,65536,1024,6,64,1.000,6153,0.093887329102,647,377,0.368164062500,148,27.228748,0.364986524244
dp-d6-l64,17,random,16,65536,1024,6,64,1.000,6366,0.097137451172,679,345,0.336914062500,145,27.899853,0.364986524244
dp-d6-l128,17,des,16,65536,1024,6,128,2.000,9280,0.141601562500,929,95,0.092773437500,148,46.168999,0.133215162880
dp-d6-l128,17,random,16,65536,1024,6,128,2.000,9260,0.141296386719,928,96,0.093750000000,145,44.550647,0.133215162880
dp-d6-l256,17,des,16,65536,1024,6,256,4.000,10308,0.157287597656,1017,7,0.006835937500,148,55.156342,0.017746279621
dp-d6-l256,17,random,16,65536,1024,6,256,4.000,9729,0.148452758789,974,50,0.048828125000,145,49.475359,0.017746279621
dp-d8-l256,17,des,16,65536,1024,8,256,1.000,7496,0.114379882812,731,293,0.286132812500,38,105.891929,0.367159754892
dp-d8-l256,17,random,16,65536,1024,8,256,1.000,7968,0.121582031250,745,279,0.272460937500,33,114.021477,0.367159754892
dp-d8-l512,17,des,16,65536,1024,8,512,2.000,7743,0.118148803711,753,271,0.264648437500,38,110.928287,0.134806285612
dp-d8-l512,17,random,16,65536,1024,8,512,2.000,8223,0.125473022461,774,250,0.244140625000,33,119.804910,0.134806285612
dp-d8-l1024,17,des,16,65536,1024,8,1024,4.000,7743,0.118148803711,753,271,0.264648437500,38,110.928287,0.018172734641
dp-d8-l1024,17,random,16,65536,1024,8,1024,4.000,8223,0.125473022461,774,250,0.244140625000,33,119.804910,0.018172734641
dp-d4-l16,18,des,16,65536,1024,4,16,1.000,3784,0.057739257812,673,351,0.342773437500,422,7.213967,0.356074130452
dp-d4-l16,18,random,16,65536,1024,4,16,1.000,3859,0.058883666992,685,339,0.331054687500,445,7.230657,0.356074130452
dp-d4-l32,18,des,16,65536,1024,4,32,2.000,6241,0.095230102539,892,132,0.128906250000,445,11.280269,0.126788786377
dp-d4-l32,18,random,16,65536,1024,4,32,2.000,6291,0.095993041992,907,117,0.114257812500,474,11.254686,0.126788786377
dp-d4-l64,18,des,16,65536,1024,4,64,4.000,7640,0.116577148438,1009,15,0.014648437500,446,15.142716,0.016075396351
dp-d4-l64,18,random,16,65536,1024,4,64,4.000,7508,0.114562988281,1016,8,0.007812500000,475,14.669291,0.016075396351
dp-d6-l64,18,des,16,65536,1024,6,64,1.000,6458,0.098541259766,695,329,0.321289062500,141,27.555396,0.364986524244
dp-d6-l64,18,random,16,65536,1024,6,64,1.000,5967,0.091049194336,676,348,0.339843750000,152,26.918639,0.364986524244
dp-d6-l128,18,des,16,65536,1024,6,128,2.000,9277,0.141555786133,950,74,0.072265625000,141,44.433684,0.133215162880
dp-d6-l128,18,random,16,65536,1024,6,128,2.000,7862,0.119964599609,842,182,0.177734375000,152,39.914489,0.133215162880
dp-d6-l256,18,des,16,65536,1024,6,256,4.000,10120,0.154418945312,1023,1,0.000976562500,141,52.098729,0.017746279621
dp-d6-l256,18,random,16,65536,1024,6,256,4.000,8751,0.133529663086,916,108,0.105468750000,152,49.820961,0.017746279621
dp-d8-l256,18,des,16,65536,1024,8,256,1.000,7248,0.110595703125,694,330,0.322265625000,29,107.922190,0.367159754892
dp-d8-l256,18,random,16,65536,1024,8,256,1.000,2465,0.037612915039,260,764,0.746093750000,36,44.100000,0.367159754892
dp-d8-l512,18,des,16,65536,1024,8,512,2.000,7469,0.113967895508,713,311,0.303710937500,29,112.513324,0.134806285612
dp-d8-l512,18,random,16,65536,1024,8,512,2.000,2465,0.037612915039,260,764,0.746093750000,36,44.100000,0.134806285612
dp-d8-l1024,18,des,16,65536,1024,8,1024,4.000,7469,0.113967895508,713,311,0.303710937500,29,112.513324,0.018172734641
dp-d8-l1024,18,random,16,65536,1024,8,1024,4.000,2465,0.037612915039,260,764,0.746093750000,36,44.100000,0.018172734641
dp-d4-l16,19,des,16,65536,1024,4,16,1.000,3763,0.057418823242,663,361,0.352539062500,436,7.203620,0.356074130452
dp-d4-l16,19,random,16,65536,1024,4,16,1.000,3359,0.051254272461,626,398,0.388671875000,425,6.742812,0.356074130452
dp-d4-l32,19,des,16,65536,1024,4,32,2.000,6204,0.094665527344,885,139,0.135742187500,454,11.268927,0.126788786377
dp-d4-l32,19,random,16,65536,1024,4,32,2.000,5816,0.088745117188,851,173,0.168945312500,446,11.258519,0.126788786377
dp-d4-l64,19,des,16,65536,1024,4,64,4.000,7728,0.117919921875,1011,13,0.012695312500,458,15.382789,0.016075396351
dp-d4-l64,19,random,16,65536,1024,4,64,4.000,7489,0.114273071289,987,37,0.036132812500,449,15.619048,0.016075396351
dp-d6-l64,19,des,16,65536,1024,6,64,1.000,6120,0.093383789062,676,348,0.339843750000,151,27.007396,0.364986524244
dp-d6-l64,19,random,16,65536,1024,6,64,1.000,4666,0.071197509766,509,515,0.502929687500,127,26.047151,0.364986524244
dp-d6-l128,19,des,16,65536,1024,6,128,2.000,9222,0.140716552734,945,79,0.077148437500,151,44.753439,0.133215162880
dp-d6-l128,19,random,16,65536,1024,6,128,2.000,7131,0.108810424805,759,265,0.258789062500,127,49.043478,0.133215162880
dp-d6-l256,19,des,16,65536,1024,6,256,4.000,10082,0.153839111328,1021,3,0.002929687500,151,52.540646,0.017746279621
dp-d6-l256,19,random,16,65536,1024,6,256,4.000,9352,0.142700195312,977,47,0.045898437500,127,77.495394,0.017746279621
dp-d8-l256,19,des,16,65536,1024,8,256,1.000,7358,0.112274169922,704,320,0.312500000000,35,110.251420,0.367159754892
dp-d8-l256,19,random,16,65536,1024,8,256,1.000,5956,0.090881347656,601,423,0.413085937500,39,131.595674,0.367159754892
dp-d8-l512,19,des,16,65536,1024,8,512,2.000,7541,0.115066528320,718,306,0.298828125000,35,113.593315,0.134806285612
dp-d8-l512,19,random,16,65536,1024,8,512,2.000,5997,0.091506958008,606,418,0.408203125000,39,132.648515,0.134806285612
dp-d8-l1024,19,des,16,65536,1024,8,1024,4.000,7541,0.115066528320,718,306,0.298828125000,35,113.593315,0.018172734641
dp-d8-l1024,19,random,16,65536,1024,8,1024,4.000,5997,0.091506958008,606,418,0.408203125000,39,132.648515,0.018172734641
dp-d4-l16,20,des,16,65536,1024,4,16,1.000,3777,0.057632446289,662,362,0.353515625000,445,7.052870,0.356074130452
dp-d4-l16,20,random,16,65536,1024,4,16,1.000,3913,0.059707641602,663,361,0.352539062500,439,7.250377,0.356074130452
dp-d4-l32,20,des,16,65536,1024,4,32,2.000,6563,0.100143432617,909,115,0.112304687500,469,11.364136,0.126788786377
dp-d4-l32,20,random,16,65536,1024,4,32,2.000,6307,0.096237182617,890,134,0.130859375000,458,11.230337,0.126788786377
dp-d4-l64,20,des,16,65536,1024,4,64,4.000,7875,0.120162963867,1015,9,0.008789062500,470,14.662069,0.016075396351
dp-d4-l64,20,random,16,65536,1024,4,64,4.000,7460,0.113830566406,984,40,0.039062500000,461,14.134146,0.016075396351
dp-d6-l64,20,des,16,65536,1024,6,64,1.000,6425,0.098037719727,676,348,0.339843750000,143,28.539941,0.364986524244
dp-d6-l64,20,random,16,65536,1024,6,64,1.000,6242,0.095245361328,678,346,0.337890625000,146,28.408555,0.364986524244
dp-d6-l128,20,des,16,65536,1024,6,128,2.000,9547,0.145675659180,942,82,0.080078125000,143,45.675159,0.133215162880
dp-d6-l128,20,random,16,65536,1024,6,128,2.000,8758,0.133636474609,908,116,0.113281250000,146,44.834802,0.133215162880
dp-d6-l256,20,des,16,65536,1024,6,256,4.000,10486,0.160003662109,1020,4,0.003906250000,143,53.823529,0.017746279621
dp-d6-l256,20,random,16,65536,1024,6,256,4.000,9697,0.147964477539,994,30,0.029296875000,146,55.001006,0.017746279621
dp-d8-l256,20,des,16,65536,1024,8,256,1.000,7340,0.111999511719,682,342,0.333984375000,37,104.620235,0.367159754892
dp-d8-l256,20,random,16,65536,1024,8,256,1.000,7699,0.117477416992,743,281,0.274414062500,45,98.897712,0.367159754892
dp-d8-l512,20,des,16,65536,1024,8,512,2.000,7612,0.116149902344,701,323,0.315429687500,37,109.370899,0.134806285612
dp-d8-l512,20,random,16,65536,1024,8,512,2.000,10418,0.158966064453,1001,23,0.022460937500,45,169.499500,0.134806285612
dp-d8-l1024,20,des,16,65536,1024,8,1024,4.000,7612,0.116149902344,701,323,0.315429687500,37,109.370899,0.018172734641
dp-d8-l1024,20,random,16,65536,1024,8,1024,4.000,10418,0.158966064453,1001,23,0.022460937500,45,169.499500,0.018172734641
dp-d4-l16,21,des,16,65536,1024,4,16,1.000,3909,0.059646606445,674,350,0.341796875000,444,7.296736,0.356074130452
dp-d4-l16,21,random,16,65536,1024,4,16,1.000,3785,0.057754516602,641,383,0.374023437500,422,7.482059,0.356074130452
dp-d4-l32,21,des,16,65536,1024,4,32,2.000,6450,0.098419189453,906,118,0.115234375000,462,11.488962,0.126788786377
dp-d4-l32,21,random,16,65536,1024,4,32,2.000,6354,0.096954345703,899,125,0.122070312500,449,11.918799,0.126788786377
dp-d4-l64,21,des,16,65536,1024,4,64,4.000,7700,0.117492675781,1016,8,0.007812500000,463,14.937992,0.016075396351
dp-d4-l64,21,random,16,65536,1024,4,64,4.000,7719,0.117782592773,1004,20,0.019531250000,451,15.225100,0.016075396351
dp-d6-l64,21,des,16,65536,1024,6,64,1.000,6558,0.100067138672,699,325,0.317382812500,143,28.934192,0.364986524244
dp-d6-l64,21,random,16,65536,1024,6,64,1.000,5306,0.080963134766,579,445,0.434570312500,138,26.685665,0.364986524244
dp-d6-l128,21,des,16,65536,1024,6,128,2.000,9258,0.141265869141,936,88,0.085937500000,143,44.135684,0.133215162880
dp-d6-l128,21,random,16,65536,1024,6,128,2.000,8169,0.124649047852,844,180,0.175781250000,138,47.740521,0.133215162880
dp-d6-l256,21,des,16,65536,1024,6,256,4.000,10206,0.155731201172,1021,3,0.002929687500,143,52.958864,0.017746279621
dp-d6-l256,21,random,16,65536,1024,6,256,4.000,9931,0.151535034180,1010,14,0.013671875000,138,65.970297,0.017746279621
dp-d8-l256,21,des,16,65536,1024,8,256,1.000,7524,0.114807128906,710,314,0.306640625000,34,106.032394,0.367159754892
dp-d8-l256,21,random,16,65536,1024,8,256,1.000,4733,0.072219848633,442,582,0.568359375000,38,76.938914,0.367159754892
dp-d8-l512,21,des,16,65536,1024,8,512,2.000,7691,0.117355346680,724,300,0.292968750000,34,109.279006,0.134806285612
dp-d8-l512,21,random,16,65536,1024,8,512,2.000,4733,0.072219848633,442,582,0.568359375000,38,76.938914,0.134806285612
dp-d8-l1024,21,des,16,65536,1024,8,1024,4.000,7691,0.117355346680,724,300,0.292968750000,34,109.279006,0.018172734641
dp-d8-l1024,21,random,16,65536,1024,8,1024,4.000,4733,0.072219848633,442,582,0.568359375000,38,76.938914,0.018172734641
dp-d4-l16,22,des,16,65536,1024,4,16,1.000,3872,0.059082031250,676,348,0.339843750000,444,7.130178,0.356074130452
dp-d4-l16,22,random,16,65536,1024,4,16,1.000,3730,0.056915283203,674,350,0.341796875000,433,7.105341,0.356074130452
dp-d4-l32,22,des,16,65536,1024,4,32,2.000,6253,0.095413208008,893,131,0.127929687500,464,10.947368,0.126788786377
dp-d4-l32,22,random,16,65536,1024,4,32,2.000,6663,0.101669311523,924,100,0.097656250000,460,11.606061,0.126788786377
dp-d4-l64,22,des,16,65536,1024,4,64,4.000,7606,0.116058349609,1013,11,0.010742187500,464,14.831194,0.016075396351
dp-d4-l64,22,random,16,65536,1024,4,64,4.000,7842,0.119659423828,1015,9,0.008789062500,461,14.600000,0.016075396351
dp-d6-l64,22,des,16,65536,1024,6,64,1.000,6360,0.097045898438,686,338,0.330078125000,145,28.431487,0.364986524244
dp-d6-l64,22,random,16,65536,1024,6,64,1.000,6095,0.093002319336,656,368,0.359375000000,137,29.544207,0.364986524244
dp-d6-l128,22,des,16,65536,1024,6,128,2.000,9309,0.142044067383,932,92,0.089843750000,145,44.806867,0.133215162880
dp-d6-l128,22,random,16,65536,1024,6,128,2.000,9259,0.141281127930,940,84,0.082031250000,137,47.275532,0.133215162880
dp-d6-l256,22,des,16,65536,1024,6,256,4.000,10213,0.155838012695,1023,1,0.000976562500,145,54.205279,0.017746279621
dp-d6-l256,22,random,16,65536,1024,6,256,4.000,9843,0.150192260742,995,29,0.028320312500,137,53.355779,0.017746279621
dp-d8-l256,22,des,16,65536,1024,8,256,1.000,7163,0.109298706055,680,344,0.335937500000,37,106.822059,0.367159754892
dp-d8-l256,22,random,16,65536,1024,8,256,1.000,7492,0.114318847656,704,320,0.312500000000,30,138.937500,0.367159754892
dp-d8-l512,22,des,16,65536,1024,8,512,2.000,7426,0.113311767578,706,318,0.310546875000,37,113.099150,0.134806285612
dp-d8-l512,22,random,16,65536,1024,8,512,2.000,10519,0.160507202148,994,30,0.029296875000,30,188.497988,0.134806285612
dp-d8-l1024,22,des,16,65536,1024,8,1024,4.000,7426,0.113311767578,706,318,0.310546875000,37,113.099150,0.018172734641
dp-d8-l1024,22,random,16,65536,1024,8,1024,4.000,10519,0.160507202148,994,30,0.029296875000,30,188.497988,0.018172734641
dp-d4-l16,23,des,16,65536,1024,4,16,1.000,3741,0.057083129883,674,350,0.341796875000,446,7.066766,0.356074130452
dp-d4-l16,23,random,16,65536,1024,4,16,1.000,3489,0.053237915039,631,393,0.383789062500,427,6.995246,0.356074130452
dp-d4-l32,23,des,16,65536,1024,4,32,2.000,6263,0.095565795898,897,127,0.124023437500,474,11.025641,0.126788786377
dp-d4-l32,23,random,16,65536,1024,4,32,2.000,6250,0.095367431641,896,128,0.125000000000,457,11.853795,0.126788786377
dp-d4-l64,23,des,16,65536,1024,4,64,4.000,7742,0.118133544922,1014,10,0.009765625000,474,14.634122,0.016075396351
dp-d4-l64,23,random,16,65536,1024,4,64,4.000,7486,0.114227294922,1011,13,0.012695312500,457,15.390702,0.016075396351
dp-d6-l64,23,des,16,65536,1024,6,64,1.000,6126,0.093475341797,670,354,0.345703125000,147,28.026866,0.364986524244
dp-d6-l64,23,random,16,65536,1024,6,64,1.000,5478,0.083587646484,610,414,0.404296875000,149,27.685246,0.364986524244
dp-d6-l128,23,des,16,65536,1024,6,128,2.000,9210,0.140533447266,928,96,0.093750000000,147,44.831897,0.133215162880
dp-d6-l128,23,random,16,65536,1024,6,128,2.000,7012,0.106994628906,752,272,0.265625000000,149,39.327128,0.133215162880
dp-d6-l256,23,des,16,65536,1024,6,256,4.000,10221,0.155960083008,1020,4,0.003906250000,147,54.097059,0.017746279621
